batch	sid1	sid2	ng1	ng2	ng	pcc	spc
batch1	batch1_F8	TC59	8686	18122	8523	0.5482805416807106	0.5004536217268138
batch1	batch1_E8	TC60	8518	17869	8328	0.5604770064265916	0.5111827562215395
batch1	batch1_D8	TC61	9834	18201	9645	0.5740760791055611	0.5280807662210849
batch1	batch1_C8	TC62	9363	17983	9159	0.5455513611065469	0.4993183230892754
batch1	batch1_B8	TC63	9768	18186	9567	0.5878502053343471	0.5330037114364304
batch1	batch1_A8	TC64	6641	17069	6495	0.4688200414089847	0.4355545654949461
batch1	batch1_H9	TC65	7232	17472	7089	0.5150489735619737	0.47570945353453054
batch1	batch1_G9	TC66	5691	17496	5557	0.4718236330324284	0.43443148994604586
batch2a	batch2a_H1	HY1	12249	17853	11789	0.7343632450446779	0.6795261554751825
batch2a	batch2a_G1	HY2	11678	17528	11240	0.7256981803335877	0.6620339853128491
batch2a	batch2a_F1	HY3	12271	17716	11766	0.7234377498601878	0.6694743253650328
batch2a	batch2a_E1	HY4	10760	18004	10466	0.7303489150292576	0.6616139063990327
batch2a	batch2a_D1	HY5	11104	17657	10642	0.7018336903188975	0.6443290375084044
batch2a	batch2a_C1	HY6	11315	17657	10841	0.6936821320134787	0.6336821939526104
batch2a	batch2a_B1	HY7	12795	17905	12341	0.7243977356873968	0.6710198156826006
batch2a	batch2a_A1	HY8	11483	17627	11069	0.7003541312325663	0.6353699841089571
batch2a	batch2a_H2	HY9	12638	17844	12183	0.7340614586793641	0.6786988544208974
batch2a	batch2a_G2	HY10	12095	17797	11657	0.7536285662645429	0.6945902355857886
batch2a	batch2a_F2	HY11	11460	17971	11052	0.7109957439890005	0.6615380629805836
batch2a	batch2a_E2	HY12	10786	17696	10431	0.7198191740094637	0.6492860690408134
batch2a	batch2a_D2	HY13	12081	17733	11675	0.7285594944472763	0.6732480837329642
batch2a	batch2a_C2	HY14	11695	17546	11222	0.6864598775448295	0.6371095172049569
batch2a	batch2a_B2	HY15	11391	17760	11007	0.7189019986744434	0.6574018263757141
batch2a	batch2a_A2	HY16	6608	17899	6467	0.5849391046384524	0.49961509554020245
batch2a	batch2a_H3	HY17	11383	17931	11010	0.7248842491655058	0.665592012496414
batch2a	batch2a_G3	HY18	11795	17676	11357	0.7338242208528521	0.6726977016831129
batch2a	batch2a_F3	HY19	11301	17754	10969	0.7219229308453892	0.6577617653755634
batch2a	batch2a_E3	HY20	11915	17809	11531	0.7255980034289157	0.662444059122426
batch2a	batch2a_D3	HY21	11006	17828	10630	0.723291072822606	0.6549665761124981
batch2a	batch2a_C3	HY22	11527	17801	11082	0.6995064771576748	0.6372078394679137
batch2a	batch2a_B3	HY23	10599	17726	10321	0.7391161039145819	0.6613065815860503
batch2a	batch2a_A3	HY24	11556	17785	11088	0.7164376481058533	0.6558651406426813
batch2a	batch2a_H4	HY25	11290	17802	10931	0.7166569398104684	0.6526955678479722
